2299,Bouclier en bois/Baguette/Bouclier en bois/Épée/Épée,0,Jour 1; 0
2383,Bouclier en bois/Bouclier en fer/Dague/Bouclier en fer,0,Jour 1; 0
2418,Bouclier en bois/Cape encapuchonné/Bâton/Dague,0,Jour 1; 0
Aazzidy,Capsules/Épée/Baguette de pain,6,"Jour 1; Un collectionneur, il doit pouvoir m'acheter quelque broutilles; Il est intéressé par un de mes objets de valeursJour 2; Au voleur !; J'ai de quoi me défendre !Jour 3; Des loups !; Il sont trop nombreux pour moi... Je peux peut-être les calmer avec un peu de nourriture; Voile de quoi les calmer un peuJour 4; Un bon endroit pour faire une pause; Un petit casse-croûte avant de reprendre la route; Il est temps de reprendre la route"
adulatio-sequi-triumphus-balbus-arcus-coaegresco,Baguette de pain,0,"Jour 1; Il fait vraiment très sombre ici; Je ferais mieux de ne pas m'aventurer ici, je vais chercher un autre chemin"
ascisco-inflammatio-delectus-caritas-dicta-clibanus,Capsules,2,"Jour 1; Un bon endroit pour faire une pause; Il est temps de reprendre la routeJour 2; Un collectionneur, il doit pouvoir m'acheter quelque broutilles; Il est intéressé par un de mes objets de valeursJour 3; Une cave sombre; Je ne vois rien dans cette obscurité... Mais qu'es ce que !"
cunabula-socius-ancilla-voluntarius-summisse-carus,Capsules,1,"Jour 1; Un collectionneur, il doit pouvoir m'acheter quelque broutilles; Il est intéressé par un de mes objets de valeurs"
currus-compono-uredo-confugo-vitium-vere,Corde/Épée/Capsules,4,"Jour 1; Une falaise se dresse devant moi; Je devrai pouvoir m'en sortir, mais l'ascension ne sera pas facileJour 2; Un dragon ! C'est un dragon qui dort juste devant moi. Derrière lui ce trouve un trésor d'une valeur inestimable. Repartir vivant avec quelques pierres précieuses, c'est l'assurance d'une vie paisibleJour 3; Au voleur !; J'ai de quoi me défendre !Jour 4; Un collectionneur, il doit pouvoir m'acheter quelque broutilles; Il est intéressé par un de mes objets de valeursJour 5; Un bon endroit pour faire une pause; Il est temps de reprendre la route"
denique-amoveo-arto-utilis-strenuus-deripio,Baguette de pain,2,"Jour 1; Il fait vraiment très sombre ici; Je ferais mieux de ne pas m'aventurer ici, je vais chercher un autre cheminJour 2; Un bon endroit pour faire une pause; Un petit casse-croûte avant de reprendre la route; Il est temps de reprendre la routeJour 3; Un petit bosquet dans la pénombre; Je ne vois rien dans cette obscurité... Mais qu'es ce que !"
deprimo-tristis-deorsum-soleo-denique-deputo,Corde,1,"Jour 1; Un dragon ! C'est un dragon qui dort juste devant moi. Derrière lui ce trouve un trésor d'une valeur inestimable. Repartir vivant avec quelques pierres précieuses, c'est l'assurance d'une vie paisibleJour 2; Une falaise se dresse devant moi; Je devrai pouvoir m'en sortir, mais l'ascension ne sera pas facileJour 3; Une cave sombre; Je ne vois rien dans cette obscurité... Mais qu'es ce que !Jour 4; Il fait vraiment très sombre ici; Je ferais mieux de ne pas m'aventurer ici, je vais chercher un autre cheminJour 5; Un collectionneur, il doit pouvoir m'acheter quelque broutilles; Je n'ai rien pour lui malheureusement"
neque-causa-vitiosus-vilitas-aestas-cuius,Baguette de pain,1,"Jour 1; Il fait vraiment très sombre ici; Je ferais mieux de ne pas m'aventurer ici, je vais chercher un autre cheminJour 2; Au voleur !; Je n'ai rien pu faire il m'a tout pris !Jour 3; Un bon endroit pour faire une pause; Il est temps de reprendre la route"
sollicito-capto-tibi-cultura-autus-paulatim,Baguette de pain,0,
spiculum-enim-exercitationem-crudelis-turba-aro,Baguette de pain,0,"Jour 1; Il fait vraiment très sombre ici; Je ferais mieux de ne pas m'aventurer ici, je vais chercher un autre cheminJour 2; Au voleur !; Je n'ai rien pu faire il m'a tout pris !"
teneo-arceo-celebrer-arca-ademptio-vobis,Baguette de pain,0,
terebro-sustineo-terra-carbo-crastinus-adsidue,Baguette de pain/Capsules,3,"Jour 1; Un bon endroit pour faire une pause; Un petit casse-croûte avant de reprendre la route; Il est temps de reprendre la routeJour 2; Un collectionneur, il doit pouvoir m'acheter quelque broutilles; Il est intéressé par un de mes objets de valeursJour 3; Il fait vraiment très sombre ici; Je ferais mieux de ne pas m'aventurer ici, je vais chercher un autre cheminJour 4; Un dragon ! C'est un dragon qui dort juste devant moi. Derrière lui ce trouve un trésor d'une valeur inestimable. Repartir vivant avec quelques pierres précieuses, c'est l'assurance d'une vie paisible"
utor-accusamus-adimpleo-accommodo-vulnus-voluptate,Corde/Baguette de pain,3,"Jour 1; Une falaise se dresse devant moi; Je devrai pouvoir m'en sortir, mais l'ascension ne sera pas facileJour 2; Un bon endroit pour faire une pause; Un petit casse-croûte avant de reprendre la route; Il est temps de reprendre la routeJour 3; Il fait vraiment très sombre ici; Je ferais mieux de ne pas m'aventurer ici, je vais chercher un autre chemin"
valens-titulus-confido-color-apparatus-fugiat,Baguette de pain/Corde/Capsules,3,"Jour 1; Un bon endroit pour faire une pause; Un petit casse-croûte avant de reprendre la route; Il est temps de reprendre la routeJour 2; Il fait vraiment très sombre ici; Je ferais mieux de ne pas m'aventurer ici, je vais chercher un autre cheminJour 3; Une falaise se dresse devant moi; Je devrai pouvoir m'en sortir, mais l'ascension ne sera pas facile"
vilitas-supplanto-uxor-vilitas-cunctatio-animus,Baguette de pain,2,"Jour 1; Un bon endroit pour faire une pause; Un petit casse-croûte avant de reprendre la route; Il est temps de reprendre la routeJour 2; Un collectionneur, il doit pouvoir m'acheter quelque broutilles; Je n'ai rien pour lui malheureusementJour 3; Il fait vraiment très sombre ici; Je ferais mieux de ne pas m'aventurer ici, je vais chercher un autre chemin"
